arc,region,name,flow_type,method_class,method,gauge,period,record_frac,record_owner,tier1_set,notes
I_NMA003,Sacramento,North Fork of Middle Fork American River near Foresthill,total flow,gauged_extended,total flow; flags: Flow correlation,USGS 11433260,10/65-09/85,0.54,arc,UF11,Unimpaired 20-year record; outside it by correlation. UF11 member.
I_DCC010,Sacramento,Duncan Canyon Creek above Diversion Dam,total flow,gauged_extended,total flow; flags: Flow correlation,USGS 11427700,10/60-09/15,0.69,arc,UF11,Unimpaired (above diversion); pre-1960 by correlation. UF11 member.
I_HHOLE,Sacramento,Hell Hole Reservoir local inflow,accretion,gauged_extended,accretion (reservoir local inflow); flags: Impairment + Flow correlation,USGS 11428800,10/65-09/15,0.54,arc,UF11,Pre-1965 synthetic. UF11 member.
I_MFA036,Sacramento,Middle Fork American River accretion: French Meadows Dam to Interbay Dam,accretion,gauged_extended,accretion; flags: Impairment + Flow correlation,USGS 11427760,10/65-09/15,0.54,arc,UF11,Pre-1965 synthetic. UF11 member.
I_SLC003,Sacramento,South Long Canyon Creek above Diversion Dam,total flow,gauged_extended_split,total flow; flags: Impairment + Flow correlation + Proportionality,USGS 11433100,10/66-09/92,0.51,donor,UF11,Split of 11433100 with I_NLC003 and I_LNG012. UF11 member.
I_MFA001,Sacramento,Middle Fork American River accretions: Foresthill to Auburn,accretion,gauged_extended_split,accretion; flags: Impairment (superscript 22) + Flow correlation + Proportionality,USGS 11433500 MF American near Auburn (10/21-01/86) + USGS 11433300 near Foresthill (10/58-09/15),10/21-09/15 (two gauges),1.0,donor,UF11,"Superscript 22 is the only visible anchor for notes 22-28, but note 22's text concerns I_NFF027 (numbering slip). Gauge basis changes at 10/58 and 01/86. UF11 member."
I_NLC003,Sacramento,North Long Canyon Creek above Middle Fork Tunnel Diversion,total flow,gauged_extended_split,total flow; flags: Impairment + Flow correlation + Proportionality,USGS 11433100,10/66-09/92,0.51,donor,UF11,Split of 11433100. UF11 member.
I_MFA025,Sacramento,Middle Fork American River accretion: Interbay Dam to Ralston Afterbay,accretion,gauged_extended_split,accretion; flags: Impairment + Flow correlation + Proportionality,USGS 11433300,10/58-09/15,0.74,donor,UF11,Split of 11433300 with I_MFA023 and I_MFA001. In the CalSim3_Merged layer it also holds I_RUB002's area. UF11 member.
I_RUB002,Sacramento,Lower Rubicon River accretion,accretion,gauged_extended,accretion; flags: Impairment + Flow correlation,USGS 11433200,10/58-09/84,0.74,arc,UF11,Gauge ends exactly at the end of the validation window. No polygon of its own in CalSim3_Merged (dissolved into I_MFA025). UF11 member.
I_LNG012,Sacramento,Long Canyon Creek near French Meadows accretion,accretion,gauged_extended,accretion; flags: Impairment + Flow correlation,USGS 11433100,10/66-09/92,0.51,arc,UF11,Split of 11433100. UF11 member.
I_GERLE,Sacramento,Gerle Reservoir local inflow,accretion,gauged_extended_split,accretion (reservoir local inflow); flags: Impairment + Flow correlation + Proportionality,USGS 11430000,08/61-09/15,0.66,donor,UF11,Split of 11430000 with I_SFR006. UF11 member.
I_MFA023,Sacramento,Middle Fork American River near Foresthill accretion,accretion,by_difference_accretion,accretion (residual); flags: Impairment + Flow correlation + Proportionality,USGS 11433300,10/58-09/15,0.74,arc,UF11,"Fn 26: accounts for French Meadows and Hell Hole (PCWA), Loon Lake (SMUD), Stumpy Meadows (GDPUD) regulation/evaporation, GDPUD M&I/ag diversions and SMUD exports through Robbs Peak Tunnel. About 22 TAF/yr credited to a small polygon, an implied yield of about 111 in/yr. UF11 member."
I_LOONL,Sacramento,Loon Lake inflow,total flow,gauged_extended,total flow (headwater reservoir); flags: Impairment + Flow correlation,USGS 11429500,10/62-09/15,0.63,arc,UF11,Pre-1962 synthetic. UF11 member.
I_LRB004,Sacramento,Buck Island Lake inflow,total flow,gauged_extended,total flow (headwater reservoir); flags: Impairment + Flow correlation,USGS 11428400,10/90-09/15,0.0,,UF11,WY1950-84 reference wholly synthetic. UF11 member.
I_RUB047,Sacramento,Rubicon Reservoir inflow,total flow,gauged_extended,total flow (headwater reservoir); flags: Impairment + Flow correlation,USGS 11427960,10/91-09/15,0.0,,UF11,WY1950-84 reference wholly synthetic. UF11 member.
I_SFR006,Sacramento,South Fork Rubicon River above Diversion Dam,total flow,gauged_extended_split,total flow; flags: Impairment + Flow correlation + Proportionality,USGS 11430000,08/61-09/15,0.66,donor,UF11,Split of 11430000. UF11 member.
I_STMPY,Sacramento,Stumpy Meadows Reservoir inflow,total flow,gauged_extended_split,total flow (headwater reservoir); flags: Impairment + Flow correlation + Proportionality,USGS 11433040,07/61-09/15,0.66,donor,UF11,Split of 11433040 with I_PLC007. UF11 member.
I_PLC007,Sacramento,Pilot Creek accretion: Stumpy Meadows Dam to Diversion Dam,accretion,gauged_extended_split,accretion; flags: Impairment + Flow correlation + Proportionality,USGS 11433040,07/61-09/15,0.66,donor,UF11,Split of 11433040. UF11 member.
I_UNVLY,Sacramento,Union Valley Reservoir inflow,total flow,gauged_extended,total flow (headwater reservoir); flags: Impairment + Flow correlation,USGS 11441000,10/24-09/60,0.31,arc,UF11,Gauge ends 1960 (reservoir built 1962): WY1961-84 by correlation. UF11 member.
I_RCK001,Sacramento,Rock Creek near Placerville,total flow,gauged_extended,total flow; flags: Impairment + Flow correlation,USGS 11444201,10/86-09/08,0.0,,UF11,WY1950-84 reference wholly synthetic. UF11 member.
I_SLV015,Sacramento,Silver Creek accretion: Union Valley Dam to Junction Dam,accretion,gauged_extended,accretion; flags: Impairment + Flow correlation,USGS 11441800,10/91-09/15,0.0,,UF11,WY1950-84 reference wholly synthetic. UF11 member.
I_FOLSM,Sacramento,Folsom Lake local inflow,accretion,by_difference_accretion,accretion (reservoir residual below 45 sub-arcs); flags: Impairment only,none listed,none listed,0.0,,UF11,Fn 9: excludes releases from PG&E's South Canal and PCWA's Lower Boardman Canal to Mormon Ravine. About 138 TAF/yr in calsim3_inflow_monthly.csv; no gauge or extension method shown (dam completed 1955). UF11 member.
I_SLV006,Sacramento,Silver Creek accretion: Junction Dam to Camino Dam,accretion,gauged_extended,accretion; flags: Impairment + Flow correlation,USGS 11441760,10/91-09/15,0.0,,UF11,WY1950-84 reference wholly synthetic. UF11 member.
I_SFA040,Sacramento,South Fork American River at Slab Creek accretion,accretion,gauged_extended,accretion; flags: Impairment + Flow correlation,USGS 11443500,10/22-09/15,1.0,arc,UF11,Long impaired record covering the window. UF11 member.
I_ALOHA,Sacramento,Aloha Lake inflow,total flow,gauged_extended_split,total flow (headwater reservoir); flags: Impairment + Flow correlation + Proportionality,USGS 11435100,09/70-09/15,0.4,donor,UF11,Split of 11435100 with I_PYR001; pre-1970 synthetic. UF11 member.
I_ICEHS,Sacramento,Ice House Reservoir inflow,total flow,gauged_extended,total flow (headwater reservoir); flags: Impairment + Flow correlation,USGS 11441500,10/24-09/15,1.0,arc,UF11,The same gauge ID is printed for I_WBR001 (row 99); one of the two is a typo. UF11 member.
I_BSH003,Sacramento,Brush Creek Reservoir inflow,total flow,gauged_extended_split,total flow (headwater reservoir); flags: Impairment + Flow correlation + Proportionality,USGS 11442700,10/87-09/15,0.0,,UF11,WY1950-84 reference wholly synthetic. UF11 member.
I_PYR001,Sacramento,Pyramid Creek accretion: Aloha Dam to Twin Bridges,accretion,gauged_extended_split,accretion; flags: Impairment + Flow correlation + Proportionality,USGS 11435100,09/70-09/15,0.4,donor,UF11,Split of 11435100; pre-1970 synthetic. UF11 member.
I_SFA066,Sacramento,South Fork American River near Kyburz accretion,accretion,gauged_extended_split,accretion; flags: Impairment + Flow correlation + Proportionality,USGS 11439501,10/22-09/15,1.0,donor,UF11,Split of 11439501 with I_SFA076 and I_SLF009. UF11 member.
I_SFA076,Sacramento,South Fork American River at proposed Forni Diversion Dam site,total flow,gauged_extended_split,total flow; flags: Impairment + Flow correlation + Proportionality,USGS 11439501,10/22-09/15,1.0,donor,UF11,Split of 11439501. UF11 member.
I_SFA030,Sacramento,South Fork American River near Placerville accretion,accretion,by_difference_accretion,accretion (residual); flags: Impairment + Flow correlation + Proportionality,USGS 11444500,08/64-09/15,0.58,arc,UF11,"Fn 27: accounts for Union Valley and Ice House (SMUD) and Caples and Silver (EID) regulation/evaporation, imports through Robbs Peak Tunnel and from Echo Lake, and exports via the El Dorado Canal/Forebay. Pre-1964 synthetic. UF11 member."
I_WBR001,Sacramento,Weber Creek near Salmon Falls,total flow,gauged_extended,total flow; flags: Impairment + Flow correlation,USGS 11441500 (as printed; duplicates I_ICEHS's ID),10/43-09/59,0.28,arc,UF11,Short record ending 1959; WY1960-84 by correlation. UF11 member.
I_PLM001,Sacramento,Plum Creek near Riverton,total flow,gauged_extended,total flow; flags: Impairment + Flow correlation,USGS 11440500,10/22-09/39,0.0,,UF11,Record ends 1939: the whole validation window is correlation-synthesized. UF11 member.
I_ALD002,Sacramento,Alder Creek accretion: dam site to Diversion Dam,accretion,gauged_extended_split,accretion; flags: Impairment + Flow correlation + Proportionality,USGS 11440000,10/22-09/81,0.91,donor,UF11,Split of 11440000 with I_ALD004. UF11 member.
I_SLF009,Sacramento,Silver Fork American River accretion: Silver Lake Dam to proposed Diversion Dam,accretion,gauged_extended_split,accretion; flags: Impairment + Flow correlation + Proportionality,USGS 11439501,10/22-09/15,1.0,donor,UF11,Split of 11439501. UF11 member.
